Fondnr;Fondnamn;Köpkurs;Säljkurs;Kursdatum 
300996;BL - Equities America;  76417,80;76401,98;2019-05-13
118000;BL - Equities Dividend;   2013,68; 2013,31;2019-05-13
336826;BL - Equities Europe;  81325,31;81310,31;2019-05-13
480145;BL - Global 30;  15225,40;15222,59;2019-05-13
444315;BL - Global 50;  19307,30;19303,74;2019-05-13
408484;BL - Global 75;  27416,78;27411,72;2019-05-13
515973;BL - Global Bond Opportunities;   7484,52; 7483,14;2019-05-13
320358;BL - Global Equities;   9545,37; 9543,61;2019-05-13
647669;BL - Global Flexible EUR;   1843,42; 1843,08;2019-05-13
391896;BlackRock Global Funds -  China Fund;    172,33;  172,29;2019-05-14
916122;BlackRock Global Funds -  Euro Markets Fund;    301,36;  301,30;2019-05-14
696898;BlackRock Global Funds -  European Value Fund;    661,62;  661,50;2019-05-14
302760;BlackRock Global Funds -  Global Allocation Fund;    534,18;  534,07;2019-05-14
768499;BlackRock Global Funds -  India Fund;    339,47;  339,40;2019-05-14
159442;BlackRock Global Funds -  Japan Small & MidCap Opportunities Fund;    571,45;  571,33;2019-05-14
661066;BlackRock Global Funds -  Latin American Fund;    648,20;  648,06;2019-05-14
553578;BlackRock Global Funds -  New Energy Fund;     88,66;   88,64;2019-05-14
446088;BlackRock Global Funds -  Technology Fund;    349,65;  349,58;2019-05-14
768556;BlackRock Global Funds -  US Basic Value Fund;    826,39;  826,21;2019-05-14
804385;BlackRock Global Funds -  US Flexible Equity Fund;    332,74;  332,68;2019-05-14
625236;BlackRock Global Funds -  US Small & MidCap Opportunities Fund;   2097,43; 2096,99;2019-05-14
517748;BlackRock Global Funds -  World Energy Fund;    158,21;  158,17;2019-05-14
410258;BlackRock Global Funds -  World Financials Fund;    263,58;  263,53;2019-05-14
338590;BlackRock Global Funds -  World Gold Fund;    243,31;  243,26;2019-05-14
374421;BlackRock Global Funds -  World Healthscience Fund;    410,94;  410,85;2019-05-14
481911;BlackRock Global Funds -  World Mining Fund;    340,72;  340,65;2019-05-14
987784;BlackRock Global Funds - Emerging Europe Fund;   1100,12; 1099,91;2019-05-14
231100;BlackRock Global Funds - Emerging Markets Fund;    336,30;  336,23;2019-05-14
379024;C WorldWide Asia;   1606,88; 1606,88;2019-05-14
384818;C WorldWide Global Equities;   1250,06; 1250,06;2019-05-14
106492;C WorldWide Global Equities Ethical;    220,22;  220,22;2019-05-14
313155;C WorldWide Medical;   1049,51; 1049,51;2019-05-14
538108;C WorldWide Medical Small & Mid Cap;   4160,63; 4160,63;2019-05-13
792697;C WorldWide Sweden;    261,82;  261,82;2019-05-14
721035;C WorldWide Sweden Small Cap;    426,08;  426,08;2019-05-14
838383;Carnegie Asia;    235,98;  235,98;2019-05-14
537639;Carnegie Fonder Portfolio - Carnegie Corporate Bond;    427,58;  427,58;2019-05-14
505586;Carnegie Indienfond;    518,07;  518,07;2019-05-14
214163;Carnegie Likviditetsfond;   1211,27; 1211,27;2019-05-14
249995;Carnegie Rysslandsfond;     71,01;   71,01;2019-05-14
584912;Carnegie Småbolagsfond;    314,10;  314,10;2019-05-14
357483;Carnegie Strategifond;   1382,07; 1382,07;2019-05-14
393314;Carnegie Sverigefond;   2746,02; 2746,02;2019-05-14
112755;Catella Avkastningsfond;    129,01;  129,01;2019-05-14
184416;Catella Småbolagsfond ;    563,30;  563,30;2019-05-14
220244;Catella Sverige Aktiv Hållbarhet;    461,70;  461,70;2019-05-14
838441;Catella Sverige Hållbart Beta;    438,95;  438,95;2019-05-14
309492;CB European Quality Fund;   1204,78; 1204,55;2019-05-14
976506;CB Fund - Save Earth Fund;    188,80;  188,76;2019-05-13
384750;Cicero Avkastningsfond;    120,59;  120,59;2019-05-14
579425;Cicero China Index A;    131,70;  131,70;2019-05-14
543595;Cicero Emerging Markets Index A;    124,01;  124,01;2019-05-14
972901;Cicero Focus;    168,45;  168,45;2019-05-14
670505;Cicero Nordic Corporate Bond;    111,72;  111,72;2019-05-14
959502;Cicero World 0-100;    127,19;  127,19;2019-05-14
187898;Cicero World 0-50;    121,33;  121,33;2019-05-14
920074;Cliens Mixfond;   2599,16; 2599,16;2019-05-14
955906;Cliens Räntefond Kort;    105,81;  105,81;2019-05-14
725101;Cliens Småbolag A;   1575,49; 1575,49;2019-05-14
422709;Coeli - Global Select Fund;    179,63;  179,63;2019-05-14
386870;Coeli - Nordic Corporate Bond Fund;    112,82;  112,82;2019-05-14
613729;Danske Invest  SICAV- SRI Global;    178,90;  178,90;2019-05-14
891804;Danske Invest Allocation SICAV- Horisont Aktie;    284,48;  284,48;2019-05-14
927632;Danske Invest Allocation SICAV- Horisont Balanserad;    222,81;  222,81;2019-05-14
696658;Danske Invest Allocation SICAV- Horisont Offensiv;    175,40;  175,40;2019-05-14
732487;Danske Invest Allocation SICAV- Horisont Ränta;    120,11;  120,11;2019-05-14
963462;Danske Invest Allocation SICAV-Horisont Försiktig;    180,76;  180,76;2019-05-14
408898;Danske Invest SICAV - Global Corporate Bonds;    163,61;  163,61;2019-05-14
432096;Danske Invest SICAV - Global Stockpicking;    261,05;  261,05;2019-05-14
973263;Danske Invest SICAV-  Sverige;   4363,09; 4363,09;2019-05-14
901181;Danske Invest SICAV- Europe;    119,35;  119,35;2019-05-14
252411;Danske Invest SICAV- Global Index;   1788,58; 1788,58;2019-05-14
865774;Danske Invest SICAV- Sverige Kort Ränta;   1172,28; 1172,28;2019-05-14
901603;Danske Invest SICAV- Sverige Ränta;   1154,42; 1154,42;2019-05-14
829945;Danske Invest SICAV-Aktiv Förmögenhetsförvaltning;   3248,83; 3248,83;2019-05-14
571695;Delphi Europe;   3542,75; 3541,15;2019-05-13
352468;Delphi Global;   3480,48; 3478,90;2019-05-13
388298;Delphi Nordic;  35588,20;35572,07;2019-05-13
291906;Didner & Gerge Aktiefond;   2688,09; 2688,09;2019-05-14
541235;Didner & Gerge Global;    287,30;  287,30;2019-05-14
140491;Didner & Gerge Småbolag;    782,37;  782,37;2019-05-14
341305;Didner & Gerge US Small and Microcap;    143,29;  143,29;2019-05-14
362327;DNB Fund - Asian Small Cap;     72,53;   72,53;2019-05-08
819029;DNB Fund - Global Emerging Markets ESG;     27,49;   27,49;2019-05-08
503573;DNB Fund - Global ESG;     49,89;   49,89;2019-05-10
481671;DNB Fund - India;   1873,40; 1873,40;2019-05-10
242495;DNB Fund - Nordic Equities;     46,93;   46,93;2019-05-10
445841;DNB Fund - Private Equity;   1691,17; 1691,17;2019-05-10
723270;DNB Global Indeks;    334,45;  334,29;2019-05-13
759100;DNB Grönt Norden;   1578,18; 1577,47;2019-05-13
517508;DNB Health Care;    356,57;  356,41;2019-05-13
687442;DNB SMB;    685,31;  685,00;2019-05-13
191676;DNB Teknologi;   1823,24; 1822,41;2019-05-13
651612;DNB USA Indeks;    289,77;  289,63;2019-05-13
872382;East Capital Balkan;     15,39;   15,39;2019-05-14
673699;East Capital China Environmental;    112,73;  112,73;2019-05-14
178624;East Capital Global Emerging Markets  Sustainable;    162,60;  162,60;2019-05-14
870907;East Capital Global Frontier Markets;    130,55;  130,55;2019-05-14
536276;East Capital Multi-Strategi;    104,44;  104,44;2019-05-14
552984;East Capital Nya Europa;     69,18;   69,18;2019-05-14
834788;East Capital Ryssland;   1457,81; 1457,81;2019-05-14
442483;East Capital Östeuropa;     40,87;   40,87;2019-05-14
134593;Enter Cross Credit;   1025,44; 1025,44;2019-05-14
490706;Enter Preserve;   1395,55; 1395,55;2019-05-14
356477;Enter Return;   1126,29; 1126,29;2019-05-14
643700;Enter Select;   2231,39; 2231,39;2019-05-14
589101;Enter Småbolagsfond;   1653,61; 1653,61;2019-05-14
170423;Enter Sverige;   2697,87; 2697,87;2019-05-14
657460;Evli Finland Mix;     90,94;   90,92;2019-05-13
426726;Evli Statsobligation;    536,14;  536,04;2019-05-13
610410;Evli Sverige Aktieindex;   1554,95; 1554,95;2019-05-13
